Column1,AREA,OCC_CODE,AREA_NAME,TOT_EMP,OCC_TITLE,NORM_EMP
137737,47664,11-1011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1200.0,Chief Executives,120.0
137738,47664,11-1021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",18060.0,General and Operations Managers,1806.0
137739,47664,11-1031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",270.0,Legislators,27.0
137740,47664,11-2011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",170.0,Advertising and Promotions Managers,17.0
137741,47664,11-2021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1620.0,Marketing Managers,162.0
137742,47664,11-2022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3560.0,Sales Managers,356.0
137743,47664,11-2031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",300.0,Public Relations and Fundraising Managers,30.0
137744,47664,11-3011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1660.0,Administrative Services Managers,166.0
137746,47664,11-3031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",4750.0,Financial Managers,475.0
137747,47664,11-3051,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3090.0,Industrial Production Managers,309.0
137748,47664,11-3061,"Warren-Troy-Farmington Hills, MI Metropolitan Division",830.0,Purchasing Managers,83.0
137749,47664,11-3071,"Warren-Troy-Farmington Hills, MI Metropolitan Division",620.0,"Transportation, Storage, and Distribution Managers",62.0
137750,47664,11-3111,"Warren-Troy-Farmington Hills, MI Metropolitan Division",90.0,Compensation and Benefits Managers,9.0
137751,47664,11-3121,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1180.0,Human Resources Managers,118.0
137752,47664,11-3131,"Warren-Troy-Farmington Hills, MI Metropolitan Division",270.0,Training and Development Managers,27.0
137753,47664,11-9021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1230.0,Construction Managers,123.0
137754,47664,11-9031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",230.0,"Education Administrators, Preschool and Childcare Center/Program",23.0
137755,47664,11-9032,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1470.0,"Education Administrators, Elementary and Secondary School",147.0
137756,47664,11-9033,"Warren-Troy-Farmington Hills, MI Metropolitan Division",460.0,"Education Administrators, Postsecondary",46.0
137757,47664,11-9039,"Warren-Troy-Farmington Hills, MI Metropolitan Division",190.0,"Education Administrators, All Other",19.0
137759,47664,11-9051,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1450.0,Food Service Managers,145.0
137760,47664,11-9061,"Warren-Troy-Farmington Hills, MI Metropolitan Division",80.0,Funeral Service Managers,8.0
137761,47664,11-9081,"Warren-Troy-Farmington Hills, MI Metropolitan Division",140.0,Lodging Managers,14.0
137762,47664,11-9111,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2800.0,Medical and Health Services Managers,280.0
137763,47664,11-9121,"Warren-Troy-Farmington Hills, MI Metropolitan Division",130.0,Natural Sciences Managers,13.0
137764,47664,11-9131,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,Postmasters and Mail Superintendents,6.0
137765,47664,11-9141,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2360.0,"Property, Real Estate, and Community Association Managers",236.0
137766,47664,11-9151,"Warren-Troy-Farmington Hills, MI Metropolitan Division",790.0,Social and Community Service Managers,79.0
