AGY,OCC,EMPLOYMENT
AF,6,5
AF,17,84
AF,18,690
AF,19,3
AF,20,99
AF,23,1
AF,25,2
AF,28,174
AF,29,22
AF,30,104
AF,50,17
AF,60,64
AF,62,5
AF,80,2497
AF,81,2443
AF,83,1975
AF,85,81
AF,86,328
AF,89,208
AF,90,2
AF,99,8
AF,101,1217
AF,102,30
AF,110,4
AF,130,217
AF,131,37
AF,132,2566
AF,134,2
AF,150,10
AF,170,198
AF,180,152
AF,181,16
AF,185,258
AF,186,64
AF,187,3
AF,188,240
AF,189,200
AF,190,1
AF,193,28
AF,199,52
AF,201,3437
AF,203,911
AF,260,140
AF,299,23
AF,301,9517
AF,303,3538
AF,304,11
AF,305,86
AF,306,121
AF,308,29
AF,318,1975
AF,319,55
AF,326,295
AF,332,14
AF,335,612
AF,340,252
AF,341,177
AF,342,100
AF,343,6815
AF,344,380
AF,346,5026
AF,361,4
AF,382,11
AF,390,11
AF,391,1131
AF,392,10
AF,394,1
AF,399,235
AF,401,251
AF,403,12
AF,404,19
AF,413,9
AF,414,5
AF,415,15
AF,430,1
AF,454,1
AF,458,1
AF,460,12
AF,462,13
AF,486,10
AF,501,2986
AF,503,483
AF,505,104
AF,510,396
AF,511,572
AF,525,121
AF,526,2
AF,530,4
AF,540,9
AF,544,39
AF,545,115
AF,560,2640
AF,561,144
AF,599,29
AF,601,176
AF,602,145
AF,603,35
AF,610,781
AF,620,165
AF,621,33
AF,622,8
AF,630,25
AF,631,1
AF,633,21
AF,636,11
AF,638,1
AF,640,558
AF,642,1
AF,644,158
AF,645,152
AF,646,9
AF,647,50
AF,649,44
AF,651,2
AF,660,62
AF,661,234
AF,662,18
AF,665,14
AF,667,4
AF,669,43
AF,670,7
AF,671,536
AF,673,1
AF,675,159
AF,679,442
AF,680,8
AF,681,225
AF,682,45
AF,683,55
AF,685,4
AF,688,1
AF,690,114
AF,698,70
AF,701,2
AF,801,4133
AF,802,1007
AF,803,94
AF,804,5
AF,806,272
AF,807,3
AF,808,121
AF,809,167
AF,810,297
AF,817,5
AF,819,473
AF,830,1175
AF,840,19
AF,850,263
AF,854,373
AF,855,5041
AF,856,987
AF,858,25
AF,861,1454
AF,881,1
AF,893,63
AF,895,802
AF,896,128
AF,899,173
AF,901,91
AF,905,614
AF,950,212
AF,962,69
AF,963,3
AF,986,96
AF,998,5
AF,999,6
AF,1001,67
AF,1008,11
AF,1010,34
AF,1015,34
AF,1016,18
AF,1020,49
AF,1035,604
AF,1040,30
AF,1051,3
AF,1054,2
AF,1056,3
AF,1060,66
AF,1071,96
AF,1082,48
AF,1083,104
AF,1084,141
AF,1087,34
AF,1099,5
AF,1101,4584
AF,1102,6058
AF,1103,13
AF,1104,1
AF,1105,60
AF,1106,127
AF,1130,1
AF,1150,6
AF,1152,2375
AF,1160,1
AF,1170,194
AF,1173,351
AF,1176,25
AF,1199,62
AF,1222,14
AF,1301,470
AF,1306,13
AF,1310,235
AF,1311,71
AF,1313,32
AF,1315,3
AF,1320,205
AF,1321,1
AF,1330,4
AF,1340,148
AF,1341,245
AF,1350,2
AF,1361,4
AF,1370,34
AF,1371,19
AF,1372,2
AF,1373,1
AF,1399,7
AF,1410,92
AF,1411,72
AF,1412,17
AF,1420,23
AF,1421,10
AF,1501,22
AF,1515,986
AF,1520,69
AF,1521,1
AF,1529,9
AF,1530,11
AF,1531,2
AF,1550,1670
AF,1599,52
AF,1601,635
AF,1603,181
AF,1640,311
AF,1654,11
AF,1658,4
AF,1667,56
AF,1670,1787
AF,1699,5
AF,1701,1602
AF,1702,2021
AF,1710,1
AF,1712,1355
AF,1720,27
AF,1725,1
AF,1740,261
AF,1750,624
AF,1799,5
AF,1801,575
AF,1802,1
AF,1810,3
AF,1811,464
AF,1815,4
AF,1825,3
AF,1910,1392
AF,2001,668
AF,2003,331
AF,2005,1212
AF,2010,947
AF,2030,32
AF,2032,32
AF,2099,7
AF,2101,985
AF,2102,491
AF,2130,285
AF,2131,79
AF,2135,2
AF,2144,21
AF,2150,589
AF,2151,236
AF,2152,990
AF,2154,55
AF,2181,1520
AF,2183,161
AF,2185,716
AF,2210,8453
AF,2299,31
AF,2502,78
AF,2504,114
AF,2601,35
AF,2602,281
AF,2604,1114
AF,2606,307
AF,2608,52
AF,2610,2418
AF,2801,37
AF,2805,411
AF,2810,209
AF,2854,214
AF,2892,1242
AF,3105,67
AF,3111,5
AF,3359,49
AF,3378,34
AF,3401,75
AF,3414,916
AF,3416,128
AF,3501,27
AF,3502,43
AF,3566,4
AF,3601,2
AF,3602,12
AF,3603,21
AF,3606,10
AF,3610,10
AF,3701,9
AF,3703,170
AF,3705,574
AF,3707,66
AF,3711,99
AF,3712,19
AF,3725,4
AF,3727,1
AF,3769,66
AF,3801,80
AF,3806,4555
AF,3809,40
AF,3858,1
AF,3872,2
AF,3901,3
AF,4102,987
AF,4104,21
AF,4201,21
AF,4204,107
AF,4206,235
AF,4255,114
AF,4301,5
AF,4352,518
AF,4361,16
AF,4401,1
AF,4417,3
AF,4601,6
AF,4602,9
AF,4604,77
AF,4605,28
AF,4607,79
AF,4616,9
AF,4701,103
AF,4714,45
AF,4715,3
AF,4742,117
AF,4745,14
AF,4749,955
AF,4801,6
AF,4804,41
AF,4805,18
AF,4816,3
AF,4818,688
AF,4819,2
AF,4840,13
AF,4850,16
AF,4855,4
AF,5003,64
AF,5026,80
AF,5048,60
AF,5201,166
AF,5210,34
AF,5301,171
AF,5306,280
AF,5309,59
AF,5317,3
AF,5334,1
AF,5350,167
AF,5352,63
AF,5378,1560
AF,5401,15
AF,5402,131
AF,5406,48
AF,5407,11
AF,5408,54
AF,5409,49
AF,5413,473
AF,5415,7
AF,5423,9
AF,5701,80
AF,5703,646
AF,5704,6
AF,5705,105
AF,5716,470
AF,5725,69
AF,5736,1
AF,5737,5
AF,5767,99
AF,5801,68
AF,5803,888
AF,5806,5
AF,5823,280
AF,5876,4
AF,6501,71
AF,6502,4
AF,6511,34
AF,6601,2
AF,6610,2
AF,6641,547
AF,6652,1058
AF,6656,57
AF,6901,45
AF,6904,469
AF,6907,798
AF,6910,312
AF,6912,137
AF,6913,33
AF,6968,66
AF,7001,32
AF,7002,72
AF,7006,16
AF,7009,226
AF,7304,33
AF,7305,4
AF,7402,8
AF,7404,121
AF,7408,131
AF,7420,10
AF,8201,12
AF,8255,613
AF,8268,1182
AF,8601,19
AF,8602,2211
AF,8610,6
AF,8801,1386
AF,8810,41
AF,8840,133
AF,8852,6806
AF,8862,45
AG,18,205
AG,19,5
AG,20,6
AG,23,10
AG,25,57
AG,28,48
AG,29,2
AG,80,116
AG,85,2
AG,86,23
AG,89,52
AG,90,20
AG,99,11
AG,101,286
AG,102,249
AG,110,414
AG,119,1
AG,131,9
AG,132,3
AG,135,166
AG,142,7
AG,150,52
AG,160,1
AG,170,5
AG,180,10
AG,184,1
AG,185,1
AG,186,342
AG,188,23
AG,189,33
AG,193,400
AG,199,20
AG,201,1127
AG,203,357
AG,260,170
AG,299,21
AG,301,4317
AG,302,1
AG,303,2057
AG,304,82
AG,305,73
AG,306,69
AG,308,19
AG,309,1
AG,318,400
AG,326,289
AG,332,18
AG,335,97
AG,340,997
AG,341,293
AG,342,390
AG,343,1843
AG,344,282
AG,346,3
AG,350,20
AG,356,1
AG,360,92
AG,361,16
AG,391,68
AG,399,122
AG,401,4525
AG,403,397
AG,404,4821
AG,405,1
AG,408,354
AG,410,4
AG,413,39
AG,414,402
AG,415,3
AG,421,918
AG,430,206
AG,434,239
AG,435,118
AG,437,70
AG,440,294
AG,454,574
AG,455,207
AG,457,3967
AG,458,1057
AG,460,1365
AG,462,14318
AG,470,776
AG,471,165
AG,480,1
AG,482,293
AG,486,1072
AG,487,53
AG,499,398
AG,501,619
AG,503,243
AG,505,17
AG,510,787
AG,511,257
AG,525,172
AG,540,4
AG,544,4
AG,560,663
AG,561,47
AG,599,26
AG,601,21
AG,602,2
AG,610,45
AG,620,7
AG,630,119
AG,675,1
AG,690,8
AG,696,241
AG,701,1677
AG,704,376
AG,799,17
AG,801,136
AG,802,828
AG,806,16
AG,807,80
AG,808,50
AG,809,24
AG,810,970
AG,817,51
AG,819,58
AG,828,11
AG,830,33
AG,850,19
AG,854,2
AG,855,25
AG,856,163
AG,858,1
AG,861,1
AG,880,4
AG,881,1
AG,890,295
AG,893,29
AG,896,1
AG,899,86
AG,901,32
AG,905,214
AG,930,45
AG,935,2
AG,950,22
AG,962,12
AG,963,32
AG,965,6
AG,986,9
AG,998,10
AG,999,2
AG,1001,407
AG,1010,5
AG,1016,9
AG,1020,3
AG,1035,491
AG,1060,3
AG,1071,16
AG,1082,99
AG,1083,31
AG,1084,58
AG,1087,5
AG,1099,11
AG,1101,2652
AG,1102,553
AG,1104,8
AG,1105,217
AG,1106,47
AG,1107,3
AG,1109,300
AG,1140,86
AG,1145,305
AG,1146,413
AG,1147,136
AG,1150,7
AG,1160,14
AG,1165,3186
AG,1170,348
AG,1171,86
AG,1176,11
AG,1199,116
AG,1221,7
AG,1222,3
AG,1301,195
AG,1306,4
AG,1310,1
AG,1311,281
AG,1315,320
AG,1316,191
AG,1320,344
AG,1340,27
AG,1341,5
AG,1350,130
AG,1370,74
AG,1371,142
AG,1373,77
AG,1380,21
AG,1382,70
AG,1384,4
AG,1399,25
AG,1410,27
AG,1411,24
AG,1412,41
AG,1420,2
AG,1421,1
AG,1501,23
AG,1510,2
AG,1515,11
AG,1520,2
AG,1529,145
AG,1530,576
AG,1531,48
AG,1550,8
AG,1599,4
AG,1603,3
AG,1640,60
AG,1654,11
AG,1670,20
AG,1701,21
AG,1702,51
AG,1710,99
AG,1712,154
AG,1715,25
AG,1720,3
AG,1740,38
AG,1750,10
AG,1799,2
AG,1801,767
AG,1802,29
AG,1805,7
AG,1810,149
AG,1811,228
AG,1825,26
AG,1850,43
AG,1860,7
AG,1862,4012
AG,1863,2563
AG,1910,23
AG,1980,1631
AG,1981,1130
AG,2001,17
AG,2003,25
AG,2005,56
AG,2010,6
AG,2030,2
AG,2099,1
AG,2101,130
AG,2102,36
AG,2130,7
AG,2150,125
AG,2151,29
AG,2181,92
AG,2210,3064
AG,2299,15
AG,2604,1
AG,2606,1
AG,2805,17
AG,3359,86
AG,3414,6
AG,3416,1
AG,3502,346
AG,3511,7
AG,3515,10
AG,3566,44
AG,3703,16
AG,3806,3
AG,4102,1
AG,4204,2
AG,4206,2
AG,4401,2
AG,4402,1
AG,4414,1
AG,4605,1
AG,4607,3
AG,4701,1
AG,4714,3
AG,4737,1
AG,4742,43
AG,4745,3
AG,4749,283
AG,5001,111
AG,5002,1
AG,5003,12
AG,5026,4
AG,5031,69
AG,5048,132
AG,5301,2
AG,5306,17
AG,5309,2
AG,5352,2
AG,5401,9
AG,5402,5
AG,5406,3
AG,5408,11
AG,5409,14
AG,5703,66
AG,5705,46
AG,5716,448
AG,5729,1
AG,5786,1
AG,5803,4
AG,5806,1
AG,5823,60
AG,6901,1
AG,6907,111
AG,7002,4
AG,7304,1
AG,7404,103
AG,7408,3
AG,8610,7
AM,18,1
AM,20,1
AM,28,21
AM,80,38
AM,89,1
AM,101,38
AM,110,38
AM,130,5
AM,132,4
AM,136,33
AM,150,1
AM,180,1
AM,185,2
AM,201,65
AM,203,3
AM,260,7
AM,301,625
AM,303,12
AM,304,1
AM,305,1
AM,306,8
AM,308,1
AM,318,11
AM,326,1
AM,340,239
AM,341,146
AM,342,4
AM,343,594
AM,401,166
AM,414,1
AM,501,58
AM,505,108
AM,510,47
AM,511,94
AM,525,1
AM,560,47
AM,601,44
AM,602,12
AM,630,2
AM,660,2
AM,685,242
AM,801,23
AM,810,2
AM,850,1
AM,854,2
AM,905,108
AM,950,2
AM,1001,1
AM,1008,1
AM,1035,12
AM,1082,4
AM,1083,1
AM,1084,1
AM,1101,115
AM,1102,274
AM,1109,2
AM,1301,11
AM,1412,1
AM,1530,1
AM,1550,4
AM,1654,1
AM,1701,6
AM,1710,83
AM,1720,6
AM,1801,4
AM,1805,2
AM,1810,3
AM,1811,35
AM,2101,2
AM,2130,7
AM,2210,75
AR,6,25
AR,17,59
AR,18,1334
AR,19,65
AR,20,117
AR,23,6
AR,25,412
AR,28,620
AR,29,49
AR,30,32
AR,50,6
AR,60,71
AR,62,14
AR,72,8
AR,80,2348
AR,81,2850
AR,83,1766
AR,85,3085
AR,86,482
AR,89,352
AR,99,92
AR,101,1326
AR,102,4
AR,110,178
AR,130,40
AR,131,59
AR,132,3123
AR,134,25
AR,136,2
AR,150,215
AR,170,170
AR,180,901
AR,181,246
AR,184,5
AR,185,1123
AR,186,298
AR,187,24
AR,188,31
AR,189,57
AR,190,12
AR,193,185
AR,199,22
AR,201,6054
AR,203,3682
AR,260,439
AR,299,14
AR,301,18624
AR,302,2
AR,303,7433
