,AGY,N,D
0,AA,11,4
1,AB,79,24
2,AF,169380,424
3,AG,90379,303
4,AH,386,31
5,AM,3516,71
6,AN,33,9
7,AP,7,3
8,AR,249074,495
9,AU,121,14
10,AW,10,3
11,BD,217,16
12,BF,89,10
13,BG,937,47
14,BH,2,2
15,BK,4,4
16,BO,606,16
17,BT,36,12
18,BW,21,4
19,CC,46,14
20,CE,22,2
21,CF,12,7
22,CM,46004,246
23,CT,687,28
24,CU,1110,39
25,CX,17,1
26,DB,12,1
27,DD,110544,335
28,DG,2,1
29,DJ,113462,250
30,DL,14227,133
31,DN,14378,187
32,DQ,21,9
33,EB,393,41
34,EC,243,28
35,ED,3701,57
36,EE,2046,49
37,EO,39,4
38,EP,14434,151
39,EQ,15,2
40,EW,53,10
41,FC,1449,51
42,FD,5910,64
43,FI,12,6
44,FJ,32,7
45,FK,10,5
46,FL,310,24
47,FM,220,20
48,FQ,1132,44
49,FR,1501,37
50,FT,1111,40
51,FW,138,16
52,GB,261,19
53,GC,19,11
54,GE,5,1
55,GG,60,8
56,GJ,351,83
57,GO,3,1
58,GQ,26,8
59,GS,11071,114
60,GW,229,63
61,GX,21,6
62,GY,18,12
63,HB,38,13
64,HD,141,35
65,HE,82517,288
66,HF,723,33
67,HP,43,11
68,HS,205119,299
69,HT,6,1
70,HU,7466,78
71,HW,18,1
72,IB,1451,44
73,IF,46,11
74,IG,13,8
75,IN,66708,345
76,JL,170,23
77,KS,561,30
78,LF,299,23
79,LP,1728,95
80,MA,20,7
81,MC,113,21
82,MI,323,19
83,NF,1478,69
84,NK,20,4
85,NL,1322,43
86,NM,36,8
87,NN,17183,136
88,NP,38,12
89,NQ,2784,74
90,NS,60,5
91,NU,3080,78
92,NV,212956,520
93,OM,5554,70
94,OS,52,10
95,PU,941,45
96,QQ,67,10
97,RE,27,17
98,RF,286,34
99,RH,308,41
100,RO,44,2
101,RR,863,43
102,RS,61,8
103,SB,5276,47
104,SE,4445,53
105,SK,528,51
106,SM,4759,147
107,SS,163,22
108,ST,11703,145
109,SZ,62511,111
110,TB,398,49
111,TC,408,33
112,TD,54110,217
113,TN,254,15
114,TR,88595,204
115,TS,20,5
116,UJ,13,2
117,UT,13,10
118,VA,391187,305
119,VD,14,7
120,WX,8,2
121,ZL,49,3
122,ZP,30,2
123,ZS,28,1
124,ZU,8,2
