AGY,OCC,EMPLOYMENT
AA,0301,1
AA,0340,1
AA,0905,8
AA,2210,1
AB,0080,1
AB,0170,2
AB,0190,1
AB,0201,2
AB,0301,8
AB,0303,1
AB,0308,1
AB,0340,2
AB,0343,4
AB,0344,1
AB,0501,2
AB,0505,1
AB,0510,3
AB,0560,1
AB,0801,2
AB,0905,1
AB,1035,2
AB,1046,1
AB,1071,1
AB,1084,1
AB,1102,3
AB,1630,35
AB,2210,2
AB,5003,1
AF,0006,5
AF,0017,84
AF,0018,690
AF,0019,3
AF,0020,99
AF,0023,1
AF,0025,2
AF,0028,174
AF,0029,22
AF,0030,104
AF,0050,17
AF,0060,64
AF,0062,5
AF,0080,2497
AF,0081,2443
AF,0083,1975
AF,0085,81
AF,0086,328
AF,0089,208
AF,0090,2
AF,0099,8
AF,0101,1217
AF,0102,30
AF,0110,4
AF,0130,217
AF,0131,37
AF,0132,2566
AF,0134,2
AF,0150,10
AF,0170,198
AF,0180,152
AF,0181,16
AF,0185,258
AF,0186,64
AF,0187,3
AF,0188,240
AF,0189,200
AF,0190,1
AF,0193,28
AF,0199,52
AF,0201,3437
AF,0203,911
AF,0260,140
AF,0299,23
AF,0301,9517
AF,0303,3538
AF,0304,11
AF,0305,86
AF,0306,121
AF,0308,29
AF,0318,1975
AF,0319,55
AF,0326,295
AF,0332,14
AF,0335,612
AF,0340,252
AF,0341,177
AF,0342,100
AF,0343,6815
AF,0344,380
AF,0346,5026
AF,0361,4
AF,0382,11
AF,0390,11
AF,0391,1131
AF,0392,10
AF,0394,1
AF,0399,235
AF,0401,251
AF,0403,12
AF,0404,19
AF,0413,9
AF,0414,5
AF,0415,15
AF,0430,1
AF,0454,1
AF,0458,1
AF,0460,12
AF,0462,13
AF,0486,10
AF,0501,2986
AF,0503,483
AF,0505,104
AF,0510,396
AF,0511,572
AF,0525,121
AF,0526,2
AF,0530,4
AF,0540,9
AF,0544,39
AF,0545,115
AF,0560,2640
AF,0561,144
AF,0599,29
AF,0601,176
AF,0602,145
AF,0603,35
AF,0610,781
AF,0620,165
AF,0621,33
AF,0622,8
AF,0630,25
AF,0631,1
AF,0633,21
AF,0636,11
AF,0638,1
AF,0640,558
AF,0642,1
AF,0644,158
AF,0645,152
AF,0646,9
AF,0647,50
AF,0649,44
AF,0651,2
AF,0660,62
AF,0661,234
AF,0662,18
AF,0665,14
AF,0667,4
AF,0669,43
AF,0670,7
AF,0671,536
AF,0673,1
AF,0675,159
AF,0679,442
AF,0680,8
AF,0681,225
AF,0682,45
AF,0683,55
AF,0685,4
AF,0688,1
AF,0690,114
AF,0698,70
AF,0701,2
AF,0801,4133
AF,0802,1007
AF,0803,94
AF,0804,5
AF,0806,272
AF,0807,3
AF,0808,121
AF,0809,167
AF,0810,297
AF,0817,5
AF,0819,473
AF,0830,1175
AF,0840,19
AF,0850,263
AF,0854,373
AF,0855,5041
AF,0856,987
AF,0858,25
AF,0861,1454
AF,0881,1
AF,0893,63
AF,0895,802
AF,0896,128
AF,0899,173
AF,0901,91
AF,0905,614
AF,0950,212
AF,0962,69
AF,0963,3
AF,0986,96
AF,0998,5
AF,0999,6
AF,1001,67
AF,1008,11
AF,1010,34
AF,1015,34
AF,1016,18
AF,1020,49
AF,1035,604
AF,1040,30
AF,1051,3
AF,1054,2
AF,1056,3
AF,1060,66
AF,1071,96
AF,1082,48
AF,1083,104
AF,1084,141
AF,1087,34
AF,1099,5
AF,1101,4584
AF,1102,6058
AF,1103,13
AF,1104,1
AF,1105,60
AF,1106,127
AF,1130,1
AF,1150,6
AF,1152,2375
AF,1160,1
AF,1170,194
AF,1173,351
AF,1176,25
AF,1199,62
AF,1222,14
AF,1301,470
AF,1306,13
AF,1310,235
AF,1311,71
AF,1313,32
AF,1315,3
AF,1320,205
AF,1321,1
AF,1330,4
AF,1340,148
AF,1341,245
AF,1350,2
AF,1361,4
AF,1370,34
AF,1371,19
AF,1372,2
AF,1373,1
AF,1399,7
AF,1410,92
AF,1411,72
AF,1412,17
AF,1420,23
AF,1421,10
AF,1501,22
AF,1515,986
AF,1520,69
AF,1521,1
AF,1529,9
AF,1530,11
AF,1531,2
AF,1550,1670
AF,1599,52
AF,1601,635
AF,1603,181
AF,1640,311
AF,1654,11
AF,1658,4
AF,1667,56
AF,1670,1787
AF,1699,5
AF,1701,1602
AF,1702,2021
AF,1710,1
AF,1712,1355
AF,1720,27
AF,1725,1
AF,1740,261
AF,1750,624
AF,1799,5
AF,1801,575
AF,1802,1
AF,1810,3
AF,1811,464
AF,1815,4
AF,1825,3
AF,1910,1392
AF,2001,668
AF,2003,331
AF,2005,1212
AF,2010,947
AF,2030,32
AF,2032,32
AF,2099,7
AF,2101,985
AF,2102,491
AF,2130,285
AF,2131,79
AF,2135,2
AF,2144,21
AF,2150,589
AF,2151,236
AF,2152,990
AF,2154,55
AF,2181,1520
AF,2183,161
AF,2185,716
AF,2210,8453
AF,2299,31
AF,2502,78
AF,2504,114
AF,2601,35
AF,2602,281
AF,2604,1114
AF,2606,307
AF,2608,52
AF,2610,2418
AF,2801,37
AF,2805,411
AF,2810,209
AF,2854,214
AF,2892,1242
AF,3105,67
AF,3111,5
AF,3359,49
AF,3378,34
AF,3401,75
AF,3414,916
AF,3416,128
AF,3501,27
AF,3502,43
AF,3566,4
AF,3601,2
AF,3602,12
AF,3603,21
AF,3606,10
AF,3610,10
AF,3701,9
AF,3703,170
AF,3705,574
AF,3707,66
AF,3711,99
AF,3712,19
AF,3725,4
AF,3727,1
AF,3769,66
AF,3801,80
AF,3806,4555
AF,3809,40
AF,3858,1
AF,3872,2
AF,3901,3
AF,4102,987
AF,4104,21
AF,4201,21
AF,4204,107
AF,4206,235
AF,4255,114
AF,4301,5
AF,4352,518
AF,4361,16
AF,4401,1
AF,4417,3
AF,4601,6
AF,4602,9
AF,4604,77
AF,4605,28
AF,4607,79
AF,4616,9
AF,4701,103
AF,4714,45
AF,4715,3
AF,4742,117
AF,4745,14
AF,4749,955
AF,4801,6
AF,4804,41
AF,4805,18
AF,4816,3
AF,4818,688
AF,4819,2
AF,4840,13
AF,4850,16
AF,4855,4
AF,5003,64
AF,5026,80
AF,5048,60
AF,5201,166
AF,5210,34
AF,5301,171
AF,5306,280
AF,5309,59
AF,5317,3
AF,5334,1
AF,5350,167
AF,5352,63
AF,5378,1560
AF,5401,15
AF,5402,131
AF,5406,48
AF,5407,11
AF,5408,54
AF,5409,49
AF,5413,473
AF,5415,7
AF,5423,9
AF,5701,80
AF,5703,646
AF,5704,6
AF,5705,105
AF,5716,470
AF,5725,69
AF,5736,1
AF,5737,5
AF,5767,99
AF,5801,68
AF,5803,888
AF,5806,5
AF,5823,280
AF,5876,4
AF,6501,71
AF,6502,4
AF,6511,34
AF,6601,2
AF,6610,2
AF,6641,547
AF,6652,1058
AF,6656,57
AF,6901,45
AF,6904,469
AF,6907,798
AF,6910,312
AF,6912,137
AF,6913,33
AF,6968,66
AF,7001,32
AF,7002,72
AF,7006,16
AF,7009,226
AF,7304,33
AF,7305,4
AF,7402,8
AF,7404,121
AF,7408,131
AF,7420,10
AF,8201,12
AF,8255,613
AF,8268,1182
AF,8601,19
AF,8602,2211
AF,8610,6
AF,8801,1386
AF,8810,41
AF,8840,133
AF,8852,6806
AF,8862,45
AG,0018,205
AG,0019,5
AG,0020,6
AG,0023,10
AG,0025,57
AG,0028,48
AG,0029,2
AG,0080,116
AG,0085,2
AG,0086,23
AG,0089,52
AG,0090,20
AG,0099,11
AG,0101,286
AG,0102,249
AG,0110,414
AG,0119,1
AG,0131,9
AG,0132,3
AG,0135,166
AG,0142,7
AG,0150,52
AG,0160,1
AG,0170,5
AG,0180,10
AG,0184,1
AG,0185,1
AG,0186,342
AG,0188,23
AG,0189,33
AG,0193,400
AG,0199,20
AG,0201,1127
AG,0203,357
AG,0260,170
AG,0299,21
AG,0301,4317
AG,0302,1
AG,0303,2057
AG,0304,82
AG,0305,73
AG,0306,69
AG,0308,19
AG,0309,1
AG,0318,400
AG,0326,289
AG,0332,18
AG,0335,97
AG,0340,997
AG,0341,293
AG,0342,390
AG,0343,1843
AG,0344,282
AG,0346,3
AG,0350,20
AG,0356,1
AG,0360,92
AG,0361,16
AG,0391,68
AG,0399,122
AG,0401,4525
AG,0403,397
AG,0404,4821
AG,0405,1
AG,0408,354
AG,0410,4
AG,0413,39
AG,0414,402
AG,0415,3
AG,0421,918
AG,0430,206
AG,0434,239
AG,0435,118
AG,0437,70
AG,0440,294
AG,0454,574
AG,0455,207
AG,0457,3967
AG,0458,1057
AG,0460,1365
AG,0462,14318
AG,0470,776
AG,0471,165
AG,0480,1
AG,0482,293
AG,0486,1072
AG,0487,53
AG,0499,398
AG,0501,619
AG,0503,243
AG,0505,17
AG,0510,787
AG,0511,257
AG,0525,172
AG,0540,4
AG,0544,4
AG,0560,663
AG,0561,47
AG,0599,26
AG,0601,21
AG,0602,2
AG,0610,45
AG,0620,7
AG,0630,119
AG,0675,1
AG,0690,8
AG,0696,241
AG,0701,1677
AG,0704,376
AG,0799,17
AG,0801,136
AG,0802,828
AG,0806,16
AG,0807,80
AG,0808,50
AG,0809,24
AG,0810,970
AG,0817,51
AG,0819,58
AG,0828,11
AG,0830,33
AG,0850,19
AG,0854,2
AG,0855,25
AG,0856,163
AG,0858,1
AG,0861,1
AG,0880,4
AG,0881,1
AG,0890,295
AG,0893,29
AG,0896,1
AG,0899,86
AG,0901,32
AG,0905,214
AG,0930,45
AG,0935,2
AG,0950,22
AG,0962,12
AG,0963,32
AG,0965,6
AG,0986,9
AG,0998,10
AG,0999,2
AG,1001,407
AG,1010,5
AG,1016,9
AG,1020,3
AG,1035,491
AG,1060,3
AG,1071,16
AG,1082,99
AG,1083,31
AG,1084,58
AG,1087,5
AG,1099,11
AG,1101,2652
AG,1102,553
AG,1104,8
AG,1105,217
AG,1106,47
AG,1107,3
AG,1109,300
AG,1140,86
AG,1145,305
AG,1146,413
AG,1147,136
AG,1150,7
AG,1160,14
AG,1165,3186
AG,1170,348
AG,1171,86
AG,1176,11
AG,1199,116
AG,1221,7
AG,1222,3
AG,1301,195
AG,1306,4
AG,1310,1
AG,1311,281
AG,1315,320
AG,1316,191
AG,1320,344
AG,1340,27
AG,1341,5
AG,1350,130
AG,1370,74
AG,1371,142
AG,1373,77
AG,1380,21
AG,1382,70
AG,1384,4
AG,1399,25
AG,1410,27
AG,1411,24
AG,1412,41
AG,1420,2
AG,1421,1
AG,1501,23
AG,1510,2
AG,1515,11
AG,1520,2
AG,1529,145
AG,1530,576
AG,1531,48
AG,1550,8
AG,1599,4
AG,1603,3
AG,1640,60
AG,1654,11
AG,1670,20
AG,1701,21
AG,1702,51
AG,1710,99
AG,1712,154
AG,1715,25
AG,1720,3
AG,1740,38
AG,1750,10
AG,1799,2
AG,1801,767
AG,1802,29
AG,1805,7
AG,1810,149
AG,1811,228
AG,1825,26
AG,1850,43
