,degreeID,n,rank
311,"24.0101,3",172883,1
312,"24.0102,3",75474,2
772,"51.3801,3",51444,3
784,"52.0201,3",39376,4
372,"30.0101,3",23174,5
313,"24.0103,3",17730,6
314,"24.0199,3",12264,7
452,"43.0107,3",12140,8
783,"52.0101,3",12086,9
481,"45.0101,3",11781,10
440,"42.0101,3",9127,11
450,"43.0104,3",6202,12
798,"52.0302,3",6128,13
675,"51.0801,3",5925,14
449,"43.0103,3",5557,15
134,"13.121,3",4984,16
536,"47.0604,3",4602,17
300,"22.0302,3",4538,18
290,"19.0709,3",4537,19
797,"52.0301,3",4192,20
697,"51.0911,3",4133,21
66,"11.0101,3",4078,22
318,"26.0101,3",4077,23
864,"9.0101,3",4025,24
679,"51.0806,3",3967,25
803,"52.0401,3",3878,26
654,"51.0602,3",3610,27
388,"30.9999,3",3520,28
694,"51.0908,3",3419,29
86,"11.0901,3",3226,30
494,"45.1101,3",3226,31
663,"51.0707,3",3215,32
475,"44.0,3",3090,33
107,"12.0503,3",3067,34
339,"27.0101,3",2882,35
163,"14.0101,3",2665,36
198,"15.0303,3",2635,37
691,"51.0904,3",2549,38
417,"40.0101,3",2538,39
67,"11.0103,3",2423,40
677,"51.0803,3",2413,41
680,"51.0808,3",2406,42
693,"51.0907,3",2194,43
647,"51.0,3",1997,44
556,"48.0508,3",1991,45
70,"11.0201,3",1946,46
708,"51.1004,3",1943,47
620,"50.0701,3",1901,48
116,"13.0101,3",1886,49
303,"23.0101,3",1813,50
289,"19.0708,3",1780,51
526,"47.0201,3",1749,52
129,"13.1202,3",1717,53
695,"51.0909,3",1715,54
727,"51.1502,3",1686,55
463,"43.0201,3",1614,56
478,"44.0701,3",1609,57
599,"50.0402,3",1562,58
671,"51.0716,3",1542,59
500,"46.0302,3",1508,60
725,"51.1199,3",1497,61
604,"50.0409,3",1469,62
860,"54.0101,3",1465,63
392,"31.0501,3",1459,64
244,"15.1301,3",1444,65
661,"51.0705,3",1411,66
819,"52.0901,3",1384,67
837,"52.1401,3",1312,68
537,"47.0605,3",1302,69
726,"51.1501,3",1292,70
465,"43.0203,3",1289,71
80,"11.0701,3",1265,72
696,"51.091,3",1265,73
394,"31.0505,3",1251,74
89,"11.1003,3",1216,75
491,"45.1001,3",1152,76
436,"41.0301,3",1129,77
653,"51.0601,3",1111,78
164,"14.0102,3",1044,79
218,"15.0612,3",1042,80
105,"12.05,3",1026,81
87,"11.1001,3",1025,82
593,"50.0101,3",1016,83
787,"52.0204,3",1003,84
132,"13.1206,3",994,85
720,"51.1105,3",981,86
230,"15.0805,3",980,87
219,"15.0613,3",950,88
448,"43.0102,3",944,89
74,"11.0301,3",881,90
81,"11.0801,3",873,91
428,"40.0801,3",860,92
631,"50.0901,3",853,93
731,"51.1599,3",845,94
486,"45.0601,3",844,95
552,"48.0501,3",820,96
779,"51.3901,3",817,97
678,"51.0805,3",816,98
528,"47.0303,3",811,99
161,"13.1501,3",800,100
61,"10.0304,3",799,101
598,"50.0401,3",799,102
223,"15.0699,3",792,103
603,"50.0408,3",767,104
287,"19.0706,3",760,105
420,"40.0501,3",754,106
195,"15.0,3",739,107
518,"47.0101,3",700,108
608,"50.0501,3",693,109
345,"29.0201,3",690,110
833,"52.1201,3",676,111
621,"50.0702,3",668,112
274,"16.1603,3",661,113
828,"52.1001,3",658,114
482,"45.0201,3",645,115
439,"41.9999,3",643,116
796,"52.0299,3",643,117
197,"15.0201,3",643,118
131,"13.1205,3",638,119
106,"12.0501,3",635,120
205,"15.0404,3",633,121
666,"51.071,3",617,122
240,"15.1202,3",614,123
209,"15.0501,3",614,124
75,"11.0401,3",613,125
844,"52.1801,3",595,126
95,"12.0301,3",594,127
71,"11.0202,3",594,128
99,"12.0401,3",590,129
204,"15.0403,3",588,130
539,"47.0607,3",587,131
462,"43.0199,3",577,132
522,"47.0105,3",572,133
26,"1.0601,3",569,134
667,"51.0711,3",567,135
55,"10.0202,3",566,136
92,"11.1006,3",565,137
108,"12.0504,3",562,138
268,"16.0905,3",560,139
0,"1.0,3",559,140
1,"1.0101,3",556,141
821,"52.0904,3",543,142
476,"44.0201,3",524,143
535,"47.0603,3",496,144
203,"15.0401,3",494,145
233,"15.0903,3",490,146
196,"15.0101,3",486,147
859,"52.9999,3",482,148
616,"50.0602,3",476,149
56,"10.0203,3",472,150
782,"51.9999,3",467,151
245,"15.1302,3",465,152
249,"15.1306,3",455,153
867,"9.0401,3",452,154
381,"30.1801,3",447,155
246,"15.1303,3",445,156
786,"52.0203,3",444,157
239,"15.1201,3",433,158
871,"9.0701,3",430,159
210,"15.0503,3",425,160
133,"13.1209,3",419,161
549,"47.9999,3",404,162
809,"52.0499,3",399,163
202,"15.0399,3",390,164
865,"9.0102,3",387,165
159,"13.1399,3",382,166
255,"15.9999,3",380,167
804,"52.0402,3",377,168
60,"10.0303,3",372,169
88,"11.1002,3",355,170
433,"41.0101,3",346,171
12,"1.0301,3",344,172
183,"14.1301,3",343,173
801,"52.0305,3",342,174
2,"1.0102,3",334,175
553,"48.0503,3",325,176
601,"50.0406,3",323,177
688,"51.0901,3",322,178
83,"11.0803,3",322,179
674,"51.0799,3",320,180
94,"11.9999,3",316,181
602,"50.0407,3",315,182
669,"51.0713,3",313,183
811,"52.0701,3",312,184
769,"51.3501,3",310,185
499,"46.0301,3",305,186
849,"52.1902,3",304,187
812,"52.0703,3",302,188
208,"15.0499,3",302,189
498,"46.0201,3",301,190
657,"51.0701,3",299,191
331,"26.1201,3",298,192
820,"52.0903,3",296,193
393,"31.0504,3",294,194
212,"15.0506,3",294,195
872,"9.0702,3",289,196
54,"10.0201,3",289,197
224,"15.0701,3",289,198
670,"51.0714,3",288,199
451,"43.0106,3",287,200
310,"23.9999,3",282,201
729,"51.1504,3",281,202
568,"49.0102,3",279,203
130,"13.1203,3",278,204
