,degreeID,UNITID,nDegrees
0,"1.0,3",104160,4
3,"1.0,3",110246,3
5,"1.0,3",114433,16
6,"1.0,3",115393,13
7,"1.0,3",115861,5
8,"1.0,3",117052,1
9,"1.0,3",117274,5
10,"1.0,3",117706,1
11,"1.0,3",118718,3
12,"1.0,3",118976,11
13,"1.0,3",119164,1
14,"1.0,3",121363,8
15,"1.0,3",121707,5
17,"1.0,3",123299,18
18,"1.0,3",123341,8
19,"1.0,3",125462,2
20,"1.0,3",126119,2
21,"1.0,3",142559,13
22,"1.0,3",143279,13
23,"1.0,3",146366,24
25,"1.0,3",150987,118
26,"1.0,3",153296,14
27,"1.0,3",154129,1
30,"1.0,3",154800,11
31,"1.0,3",154925,2
33,"1.0,3",173638,1
34,"1.0,3",173911,2
35,"1.0,3",175236,1
36,"1.0,3",175652,4
40,"1.0,3",179344,10
41,"1.0,3",181491,21
42,"1.0,3",187903,2
44,"1.0,3",206996,42
45,"1.0,3",207069,26
46,"1.0,3",207236,5
47,"1.0,3",207290,36
49,"1.0,3",209074,1
51,"1.0,3",223427,22
52,"1.0,3",223816,3
53,"1.0,3",223922,4
54,"1.0,3",225371,3
55,"1.0,3",225520,2
56,"1.0,3",226019,1
58,"1.0,3",227304,3
59,"1.0,3",227401,2
60,"1.0,3",228158,11
62,"1.0,3",229832,8
63,"1.0,3",240505,5
64,"1.0,3",240620,6
65,"1.0,3",240666,8
66,"1.0,3",243638,12
67,"1.0,3",246354,2
68,"1.0,3",367459,9
69,"1.0,3",428392,1
70,"1.0,3",455512,4
71,"1.0101,3",104160,1
72,"1.0101,3",104346,3
73,"1.0101,3",104425,2
74,"1.0101,3",106795,5
75,"1.0101,3",126207,1
76,"1.0101,3",127389,1
77,"1.0101,3",127732,8
79,"1.0101,3",130907,5
81,"1.0101,3",143279,15
82,"1.0101,3",144564,1
83,"1.0101,3",145521,4
84,"1.0101,3",145682,9
85,"1.0101,3",146278,8
87,"1.0101,3",147916,10
88,"1.0101,3",148256,16
90,"1.0101,3",148821,4
91,"1.0101,3",148991,1
92,"1.0101,3",170657,3
93,"1.0101,3",175829,7
94,"1.0101,3",177135,31
95,"1.0101,3",178217,10
96,"1.0101,3",179715,8
97,"1.0101,3",180151,2
98,"1.0101,3",180373,1
99,"1.0101,3",180902,21
100,"1.0101,3",181640,90
101,"1.0101,3",184180,12
102,"1.0101,3",184205,5
103,"1.0101,3",200192,18
104,"1.0101,3",200305,29
105,"1.0101,3",201973,10
106,"1.0101,3",206011,3
107,"1.0101,3",208275,4
108,"1.0101,3",208390,2
109,"1.0101,3",209074,4
110,"1.0101,3",210234,2
111,"1.0101,3",219143,137
112,"1.0101,3",223922,5
113,"1.0101,3",224891,1
117,"1.0101,3",229841,1
118,"1.0101,3",236692,4
119,"1.0101,3",236887,18
120,"1.0101,3",240505,18
121,"1.0101,3",240514,3
122,"1.0101,3",240620,4
123,"1.0101,3",240666,7
125,"1.0101,3",455114,2
126,"1.0102,3",106449,26
127,"1.0102,3",109819,10
128,"1.0102,3",110246,10
129,"1.0102,3",113096,3
130,"1.0102,3",113193,2
132,"1.0102,3",115393,9
133,"1.0102,3",115861,2
134,"1.0102,3",117052,5
135,"1.0102,3",118718,20
