,degreeID,n,rank
2774,"52.0201,5",125900,1
1760,"42.0101,5",107403,2
2688,"51.3801,5",106640,3
2775,"52.0201,7",100425,4
1057,"26.0101,5",73486,5
2811,"52.0301,5",50367,6
2845,"52.0801,5",34765,7
1006,"23.0101,5",34497,8
2999,"9.0101,5",33654,9
2001,"45.1001,5",32970,10
2922,"52.1401,5",32393,11
1965,"45.0601,5",31460,12
962,"22.0101,18",31132,13
1846,"43.0104,5",30612,14
570,"14.1901,5",28975,15
2012,"45.1101,5",27912,16
351,"13.1202,5",27469,17
1928,"44.0701,7",26551,18
2975,"54.0101,5",24865,19
1517,"31.0505,5",23422,20
2770,"52.0101,5",23392,21
1036,"24.0101,5",23269,22
1500,"30.9999,5",23216,23
1927,"44.0701,5",21294,24
224,"13.0101,7",19628,25
2812,"52.0301,7",19406,26
176,"11.0701,5",18637,27
1300,"27.0101,5",17273,28
242,"13.0401,7",17223,29
1843,"43.0103,5",16963,30
148,"11.0101,5",16213,31
543,"14.1001,5",15473,32
238,"13.0301,7",14261,33
1668,"40.0501,5",13951,34
2689,"51.3801,7",13746,35
1039,"24.0102,5",13487,36
544,"14.1001,7",13426,37
516,"14.0801,5",12958,38
2496,"51.1201,18",12928,39
1909,"44.0401,7",12630,40
177,"11.0701,7",12239,41
367,"13.121,5",12176,42
298,"13.1001,7",11885,43
3008,"9.0401,5",11567,44
341,"13.1101,7",11205,45
2235,"50.0701,5",11196,46
2530,"51.2001,18",10986,47
2335,"51.0,5",10492,48
1511,"31.0501,5",9996,49
507,"14.0701,5",9742,50
3002,"9.0102,5",9587,51
2393,"51.0701,5",9478,52
149,"11.0101,7",9350,53
1514,"31.0504,5",9263,54
2996,"9.01,5",8969,55
1943,"45.0201,5",8915,56
1993,"45.0901,5",8742,57
2771,"52.0101,7",8706,58
2238,"50.0702,5",8682,59
2201,"50.0501,5",8446,60
1063,"26.0202,5",8421,61
1798,"42.2803,7",8273,62
2394,"51.0701,7",8272,63
923,"19.0701,5",8159,64
2564,"51.2201,7",7958,65
2612,"51.2308,18",7809,66
2862,"52.0901,5",7725,67
407,"13.1314,5",7691,68
571,"14.1901,7",7598,69
2901,"52.1201,5",7521,70
1959,"45.0401,5",7440,71
154,"11.0103,5",7298,72
352,"13.1202,7",7237,73
2704,"51.3805,7",7182,74
2266,"50.0901,5",7115,75
2881,"52.1001,5",6969,76
1937,"45.0101,5",6904,77
826,"16.0905,5",6894,78
2846,"52.0801,7",6782,79
2808,"52.0299,5",6777,80
1714,"40.0801,5",6651,81
170,"11.0401,5",6479,82
501,"14.0501,5",6457,83
532,"14.0901,5",6446,84
297,"13.1001,5",6417,85
1761,"42.0101,7",6208,86
171,"11.0401,7",6184,87
1901,"44.0,5",6130,88
1358,"3.0103,5",6028,89
1361,"3.0104,5",5929,90
65,"1.0901,5",5580,91
1695,"40.0601,5",5528,92
1534,"38.0101,5",5526,93
2898,"52.1101,5",5495,94
357,"13.1205,7",5475,95
2454,"51.0912,7",5413,96
1463,"30.2001,5",5413,97
411,"13.1315,7",5367,98
1615,"4.0201,5",5248,99
517,"14.0801,7",5205,100
3017,"9.0701,5",5205,101
2833,"52.0601,5",5187,102
2608,"51.2306,7",5187,103
2809,"52.0299,7",5158,104
1282,"26.1501,5",5060,105
606,"14.3501,5",4957,106
2520,"51.1508,7",4951,107
2766,"51.9999,5",4893,108
2563,"51.2201,5",4866,109
2342,"51.0201,5",4826,110
3029,"9.0902,5",4790,111
3032,"9.0903,5",4658,112
2693,"51.3802,7",4655,113
1049,"25.0101,7",4648,114
2354,"51.0204,5",4627,115
2882,"52.1001,7",4523,116
155,"11.0103,7",4520,117
